st_code	mean_prec_mm	mean_PET_mm	mean_temp_C	Aridity index	Snow_Fraction	Area_SqM	Elevatiom_m	Slope_percent	Ks_log10_cm_per_day	theta_s	DTB_m	Max_water_content_m
05316580	2.154030267	2.350784584	7.105651195	1.09134241	0.18012075	25111925104.0	374.380772	3.3628678	0.26322034	0.4083846	56.31961427	23.00006315
05317000	2.303289497	2.43648169	7.834077217	1.057826944	0.183948101	3458362781.0	367.2220968	3.2278311	0.18675268	0.3957778	45.98260117	18.19889273
05319500	2.432915742	2.436463638	8.023692577	1.00145829	0.177033391	2079664305.0	345.6273679	3.0211713	0.21580927	0.39880487	49.17574196	19.61152538
05320000	2.479065392	2.434828483	8.118334394	0.982155812	0.17148017	6441421173.0	350.6991111	3.1732235	0.16418983	0.3964403	48.09231698	19.06573257
05320500	2.54717381	2.387802768	7.943662433	0.937432208	0.168218894	3271123923.0	336.2196613	3.201126	0.119505905	0.39320496	45.02742621	17.70500732
05325000	2.263471864	2.37828124	7.438901231	1.050722688	0.176925469	41187014970.0	362.4221818	3.3229833	0.22908525	0.4035578	52.6102389	21.23127227
05449500	2.628820241	2.424863628	8.416969537	0.922415154	0.156911039	1183910397.0	372.2451229	3.404843	0.12871136	0.3857263	30.96260806	11.94309225
05457000	2.593230869	2.289849888	7.57838205	0.883010423	0.173428835	1091565057.0	383.805546	3.1492755	0.25510132	0.4225943	31.83229838	13.45214785
05459500	2.642872547	2.367518876	8.064819125	0.895812732	0.162668216	1415379886.0	375.137073	3.856682	0.17204963	0.39251754	32.257347	12.66157449
05471000	2.703932101	2.535448675	9.417035621	0.937689476	0.131769634	1535556188.0	327.1342152	3.8701558	0.13482222	0.3875765	35.24316528	13.65942265
05476000	2.320776624	2.420638046	7.667553001	1.043029312	0.187319403	3429934151.0	466.3958327	3.0349	0.16611052	0.39427844	78.56218266	30.97537482
05476750	2.412732155	2.442994228	8.03854377	1.012542657	0.173554422	6222155203.0	429.551314	3.059841	0.15506954	0.39066562	69.871538	27.29640771
05479000	2.545810549	2.461885861	8.450210543	0.967034197	0.16147539	3024678140.0	366.7553574	3.0428994	0.13143954	0.38750282	47.62931421	18.45649357
05480500	2.483255118	2.461840501	8.311782771	0.991376393	0.167963342	11003243717.0	400.852284	3.1136434	0.1447075	0.38874233	58.94039076	22.91262484
05481000	2.62187622	2.486597924	8.798807499	0.948404011	0.148353724	2258677256.0	349.7759529	2.970957	0.12783958	0.3864888	33.13248056	12.80533265
05481300	2.520464436	2.472260134	8.458887414	0.980874833	0.162551158	14332299659.0	387.8426754	3.1642785	0.14148934	0.38821772	52.84229543	20.51431545
06468170	1.707886295	2.195212896	5.100117344	1.285339019	0.22825533	3031830305.0	511.3454861	2.9180932	0.32079232	0.40411276	58.50867861	23.6441036
06468250	1.710441436	2.191334044	5.081019266	1.281151168	0.226987775	3491143126.0	504.6306027	2.9479315	0.3503191	0.40432867	58.77196393	23.76319001
06469400	1.753980579	2.205887836	5.16890429	1.257646671	0.222596691	1291938446.0	535.6245532	3.513	0.28893358	0.40986606	61.73179007	25.30176557
06470500	1.75201519	2.222140311	5.394710186	1.26833393	0.215633261	11150720347.0	498.892324	3.1970448	0.2908697	0.4106196	63.10182358	25.91084556
06470800	1.809955059	2.276828402	6.126639303	1.257947478	0.196450794	1060371035.0	430.4290529	2.7628813	0.22810568	0.43536964	69.72667664	30.35687811
06470878	1.760836184	2.23772584	5.563500227	1.270831359	0.212748044	13749395682.0	485.413248	3.1427171	0.28890544	0.41340566	63.82791771	26.38682245
06471200	1.780177761	2.31805075	6.162223462	1.302145663	0.206743983	2224413073.0	527.3703413	3.174559	0.23481841	0.40675718	65.49118132	26.63900823
06471500	1.768801804	2.337415904	6.390079749	1.321468521	0.203579812	4197835856.0	507.7134244	3.122488	0.2462077	0.41034934	63.70105047	26.13968402
06472000	1.779445199	2.298594636	6.060454829	1.29174792	0.205766587	24837791222.0	481.1761631	3.1451397	0.32402036	0.41446012	63.99763401	26.52446707
06475000	1.767104771	2.376349567	6.594692759	1.344770048	0.198968808	37782086253.0	481.7022433	3.3175738	0.31357056	0.41645628	62.6499322	26.09095771
06476000	1.777028546	2.394207412	6.749449204	1.347309483	0.19731057	43167327865.0	474.0326291	3.3375213	0.33191484	0.41651252	61.87888616	25.77333081
06477000	1.789260725	2.41319721	6.910119446	1.348711887	0.194088186	48043896048.0	469.6751406	3.3652217	0.3214122	0.41791558	61.09793518	25.53377902
06477500	1.92107591	2.66459752	8.861415114	1.387033956	0.1732705	1698255912.0	468.3041748	3.639946	0.18845715	0.42568174	53.26441359	22.67368826
06478500	1.817743047	2.443798822	7.185009762	1.344413791	0.188333219	56222823535.0	463.7419314	3.416385	0.30528677	0.41992286	59.78466732	25.10494848
06478690	2.098602265	2.537751821	8.415035827	1.209258116	0.164921984	973035392.2	463.1509385	3.1653407	0.20858185	0.4310386	58.69585786	25.3001804
06479215	1.99047919	2.303076874	6.453979632	1.157046447	0.212782365	174526021.6	578.1688465	3.1623266	0.3569774	0.4218921	69.6200951	29.37216812
06479438	1.92973371	2.371826451	6.682003017	1.229095205	0.208616519	2130514662.0	553.8144626	3.1316087	0.40790007	0.42105618	66.33000086	27.92865678
06479525	1.945055648	2.35944579	6.715058932	1.213047962	0.207051629	3245107820.0	553.515363	3.1557891	0.3287591	0.42284548	69.61301549	29.43554895
06480000	2.002487193	2.369620352	6.993859323	1.183338581	0.194712119	9004708467.0	540.3179992	3.4282982	0.23031291	0.42411062	68.50991409	29.05578214
06481000	2.025732724	2.37118456	7.067702579	1.170531794	0.19282617	10620103038.0	534.8499668	3.452787	0.21701285	0.4242043	66.8384308	28.35314975
06482020	2.052832881	2.383335882	7.206856092	1.160998493	0.188653888	12592506773.0	528.0845798	3.5017	0.20423259	0.4252716	65.8088732	27.9866448
06605000	2.395129626	2.451685754	8.180403422	1.023612972	0.170021438	910168434.2	453.2740621	3.325103	0.12538296	0.3917786	93.74351527	36.72670317
05AB021	1.832176257	1.900758255	2.935047957	1.037431987	0.285119721	1173289916.0	1356.765327	15.201017	0.19858932	0.40763745	30.80806484	12.55852099
05AC003	1.371256094	2.039424115	4.819811811	1.487267129	0.234231268	2778599145.0	1052.555029	3.930419	0.2697045	0.43843362	45.99865827	20.16735826
05AD007	1.713945045	2.035966625	3.653867333	1.187883258	0.339136478	16755689639.0	1379.312595	16.64737	0.2309713	0.40744105	34.16809454	13.92148431
05AE006	1.692008228	2.108155245	4.225963197	1.245948578	0.35772248	3494169553.0	1383.812881	14.929203	0.20203736	0.40690407	36.15064191	14.70984333
05AG006	1.557449416	2.106758991	4.427807838	1.35269818	0.303349803	25527431925.0	1227.160409	12.122473	0.27077144	0.42195803	39.23751099	16.55658284
05AJ001	1.569456168	2.021750761	3.637111298	1.288185552	0.28839361	55112920098.0	1247.446332	13.956827	0.28039983	0.42024037	38.32467835	16.10557701
05BH004	2.046655373	1.499115223	-1.204636817	0.732470763	0.433347504	7780654502.0	1878.272023	36.97184	0.30475068	0.35751924	15.12010741	5.405729308
05BN012	1.626311649	1.897441671	2.567154108	1.166714678	0.284998473	26559252687.0	1318.585431	16.908266	0.27591315	0.41398764	36.45260681	15.09092867
05CC001	1.587201268	1.806107876	3.339760537	1.137919879	0.228516222	1742938072.0	938.2900598	4.7220798	0.27182367	0.4907521	37.86914324	18.58436157
05CC002	1.752391326	1.754041234	1.885160224	1.000941518	0.269677724	11445547255.0	1310.108164	12.809905	0.300409	0.45605808	31.22234877	14.23920444
05CE001	1.582500011	1.837625443	2.849296756	1.161216701	0.241715769	24557299229.0	1082.386089	8.421419	0.27267638	0.46083295	40.57317394	18.69745544
05CK004	1.422602272	1.971866951	3.649064197	1.386098553	0.230434033	44382919223.0	962.6501367	6.2898345	0.30659544	0.45726463	45.29088074	20.70991782
05EF001	1.63262258	1.719901733	1.740392189	1.053459479	0.268246123	56322311093.0	1028.329506	11.872194	0.3491575	0.4607547	30.96986274	14.26950982
05FA001	1.583543505	1.823916684	3.625495934	1.151794491	0.222074873	1251726721.0	882.4131836	4.7627864	0.28107125	0.46656194	35.70017289	16.65634192
05FE004	1.347478088	1.909204293	3.331554252	1.416872237	0.23004281	24805689090.0	733.9354907	3.7487972	0.39456347	0.4527675	46.94472364	21.25504516
05GG001	1.421221569	1.844251985	2.527795254	1.297652686	0.242759042	151050000000.0	798.2493352	6.674339	0.390187	0.4553016	39.0007072	17.75708439
05HD036	1.323755678	2.212569952	4.585442237	1.671433776	0.274728661	1430029491.0	976.0745687	4.4603815	0.2335406	0.43679667	49.29875866	21.53353362
05HG001	1.387254655	2.098140579	4.171696885	1.512440828	0.251849511	162490000000.0	976.379273	7.9291368	0.34345925	0.4431793	44.80834005	19.85812878
05JE006	1.375088916	2.146128234	4.454477885	1.560719607	0.236821714	8478981802.0	624.6007904	3.4040089	0.22015376	0.45871052	51.0999615	23.44008991
05JM001	1.406605268	1.977741475	3.246533727	1.406038724	0.237836271	59467669545.0	585.0625315	2.980103	0.2735222	0.452375	39.69211058	17.95571853
05LL014	1.606532307	1.955899866	3.508604575	1.217466874	0.228734458	221374473.8	382.7951367	2.854408	0.7645699	0.43664485	34.89995159	15.23888413
05MD004	1.540196773	1.796569949	2.077022667	1.166454819	0.247384929	12900151369.0	540.6930026	2.9048743	0.34701937	0.4538374	30.83807354	13.99547112
05MH005	1.483346145	1.993271984	3.387585723	1.343767259	0.234927672	160493000000.0	559.6087059	3.1269798	0.32602742	0.45117554	39.56618851	17.85129647
05NA003	1.401772664	2.236816975	4.72072378	1.595705946	0.232469089	2940338634.0	669.9875086	3.9168293	0.1971988	0.4424039	52.65191841	23.29341405
05NB021	1.460005152	2.229180335	4.714802519	1.526830458	0.242233037	892660085.6	617.186112	3.3203738	0.23160987	0.41571093	45.8310654	19.05247482
05ND010	1.454259853	2.004696887	3.23364604	1.37849978	0.247749991	4658387539.0	669.9659467	3.653627	0.3101748	0.4450009	38.73714881	17.23806608
05NG001	1.500458605	2.117675752	4.216053998	1.411352333	0.232001223	60908566275.0	559.537228	3.057057	0.35950837	0.43991366	45.41040947	19.97665943
05NG024	1.5439065	1.93736151	3.048034303	1.254843807	0.254965971	3580162917.0	640.6906943	3.2645125	0.28895104	0.4439477	38.82497474	17.23625824
05OB016	1.602315259	1.98441162	3.49888479	1.238465158	0.247735224	987062113.5	479.1698543	2.4795203	0.19496213	0.40672088	53.72741051	21.85205968
05OB021	1.634194914	1.968434711	3.503351777	1.204528722	0.250496775	172208266.6	473.1557212	2.5557642	0.19642612	0.40548137	53.85705545	21.83803263
05OC001	1.855378427	2.13948793	5.205148018	1.153127523	0.197007972	97409637461.0	366.4988051	2.822448	0.44800216	0.43930146	63.67307958	27.97167682
05OC012	1.830257015	2.122654537	5.010792009	1.15975763	0.203587748	112244000000.0	369.511084	2.8370566	0.42516333	0.44059876	61.42912913	27.06559812
11AA005	1.456092426	2.238702711	4.724010545	1.537472946	0.328302523	2740876352.0	1325.230756	6.142436	0.22049545	0.3999991	38.06886262	15.22751079
05053000	1.976056379	2.305734289	6.607022778	1.166836287	0.18421863	12714759142.0	350.0532605	2.9595323	0.31204277	0.418633265	64.09243572	26.83122564
05062000	1.998215579	2.151071022	5.644069882	1.076495972	0.190548704	2770782135.0	384.2520406	3.7593365	0.3999032	0.401956486	67.95485189	27.31489347
06473000	1.782612293	2.309624737	6.146469212	1.29564053	0.203887917	27120963543.0	480.0399166	3.162238	0.3368339	0.414118959	64.15000781	26.56573444
