date,05AB021,05AC003,05AD007,05AE006,05AG006,05AJ001,05BH004,05BN012,05CC001,05CC002,05CE001,05CK004,05EF001,05FA001,05FE004,05GG001,05HD036,05HG001,05JE006,05JM001,05LL014,05MD004,05MH005,05NA003,05NB021,05ND010,05NG001,05NG024,05OB016,05OB021,05OC001,05OC012,11AA005,05051300,05051522,05053000,05054000,05054500,05056000,05057000,05057200,05058700,05059700,05060500,05061000,05061500,05062000,05062500,05064500,05066500,05069000,05079000,05080000,05082500,05082625,05084000,05090000,05092000,05113600,05114000,05120500,05123400,05245100,05267000,05270500,05270700,05291000,05304500,05315000,05316500,05316580,05317000,05319500,05320000,05320500,05325000,05449500,05457000,05459500,05471000,05476000,05476750,05479000,05480500,05481000,05481300,06468170,06468250,06469400,06470500,06470800,06470878,06471200,06471500,06472000,06473000,06475000,06476000,06477000,06477500,06478500,06478690,06479215,06479438,06479525,06480000,06481000,06482020,06605000
1984-01-01,18.75601502033808,27.86598267587977,28.201121106606298,35.64117912500041,31.26437607231276,25.69516076201805,2.4007771910790785,18.09178272641083,7.629753920729652,8.992854801996607,9.298163550486835,12.40725658105094,6.022880081824521,8.705034338501937,6.758035254145909,7.609572554747745,35.07117921338632,22.691896863567568,17.68849148104677,8.79722305929281,5.895103650386019,2.612311841533398,8.162666784002173,17.114292727033618,13.283556527006803,5.107387814871119,11.239217408435271,5.271342009639617,3.491398441346857,3.7628290480291593,5.383994063552279,5.365944381021139,44.43504240508562,4.377688995083086,5.147457668063497,5.195024301039303,5.338424363274723,8.782615391074792,8.965423553306179,5.963670470232694,7.225979694698907,6.646961917156604,10.639660527022782,11.144993463072922,1.62353138299557,3.820037825074903,2.61238136436912,1.8617681182320371,6.569097996085456,6.373532974421215,4.9147533654541045,1.9797146500825171,2.254261045847416,6.383240534934458,7.638969064977438,4.344951053678364,6.275624109447269,5.637584150431005,15.36406156457172,11.904450687407817,12.375290495200671,4.340987343038269,2.1006329578134166,1.2652260528753974,4.194097209605917,1.616719811619929,3.503143446124044,1.8705770941182047,3.723172859207786,4.048213058674647,2.610172212086457,4.507341477669541,3.796810259919884,3.414851358945978,2.340538409984702,2.894632254964225,4.823726587987942,2.340503380853934,3.6101019374819856,13.76624384975012,2.9398107852579365,4.007356134793238,4.917910983467113,5.092245739228553,7.589322670052977,5.969521708870418,9.956180969382087,9.60845755979322,8.546134916041211,10.879868482896208,15.976778930127043,12.162504035543506,17.367850486297804,20.28883440916501,13.73331554964914,13.247846653160256,17.885060423546523,16.896301909673817,16.521240487368356,22.873602590748227,16.40864199085312,6.590689381430906,2.1035203007439005,1.7840572460986197,1.9342737318215115,1.853883507667495,1.8153864202931305,2.033529121069482,2.585954202254623
1984-02-01,8.560633584109814,11.415470907380216,4.686279070173334,4.759973477037234,5.6759265840998845,6.649971103027149,1.9398432483893733,7.889832522818169,13.346666681724225,14.859527254121083,17.172867161572505,20.290824612285952,6.686111294697062,13.189222215755256,8.847623993868545,9.877061687326105,13.604634962432998,14.148209708601378,21.985485269111933,18.574814221289817,18.600803909783465,12.609204932612458,17.96865683507039,27.798675005709025,29.701175502692653,23.37529253121337,20.38039467853872,17.96563815924762,5.709094077543819,5.545638024138916,20.395043774750672,18.90092046147737,4.911981464264679,45.812062510601294,38.12957772514805,37.288839848061535,38.30615620611267,9.114825696221237,8.754279475440782,8.176049348225018,13.202405218372473,9.675203649589063,17.245061869449373,19.9937207586526,30.52616785172625,44.5094399522668,36.70052396470048,30.396299354419856,22.71022255629247,11.94112217485134,29.253852632970585,21.0165537680515,21.43366208775761,22.67064289953635,13.960849201381054,11.21730134460325,10.86130497471077,21.32072337740697,30.282196283511382,23.32793041938488,24.376664194079925,15.880380654662185,45.92297005950595,30.856041971222684,49.82895627247818,33.16593050636554,21.800861476279486,49.529611836003504,31.872451164582213,33.93323575717535,37.16520313754475,44.309936441446126,55.34697440710568,64.31374762768353,78.36454442204864,46.29692638428494,105.14731373766924,93.91643991884148,94.41689250459896,74.94538940672045,42.79098978001595,60.45998825812485,82.81425653579834,74.12371919438255,106.50547135684138,80.74949672706649,8.681071662548119,9.24498868132326,9.76387263478999,14.72677375929773,24.53632841605791,17.2131378591343,31.47025884899328,30.5747317043018,20.680781333867703,20.949195388991303,22.439251303959452,26.938886623918105,31.34042390742584,83.46534286887172,38.70384740945781,73.11220399505854,13.430660530238931,14.582309993130888,15.896541721737409,22.36210597423858,24.93333950939151,29.149390185931647,67.49583371441207
1984-03-01,30.673857054089986,22.437316671626903,17.86346522585887,16.67518801714339,18.465753751594136,15.770733416324545,6.640105489823616,13.058979887254702,48.71132309488665,22.31850908447793,28.65493514252455,23.49296160855148,32.756795324671806,40.259016858901525,47.56664275350386,30.01121019701301,17.527275532832828,16.882676105044673,7.423190356440552,12.680372640185878,16.497237743782442,28.408984504685755,19.154446274282662,9.779523284451152,14.957157623681525,18.015529760459877,21.325038292023685,21.711221319771795,58.45747048822226,58.92072756780124,58.0618829672724,56.74365031268644,21.05236616738562,65.02760681450701,67.18526941928418,68.97623086414048,65.70850761866333,49.0418778334986,58.67889113643019,62.22316391169032,70.16512346888187,64.4132597421488,79.12057660372506,67.58306401329891,43.87017989318072,46.2008474373644,45.589206874339766,42.85065099939801,64.40743508153213,71.3942872945289,51.67387085789793,35.370201690196126,36.61874730561935,63.45069656859864,62.15570502760453,65.20493639707783,56.58053950874192,58.71127137743392,10.894212931053676,13.228951644116384,53.25525870231494,43.89761560551831,52.82121129601099,30.835814561120923,50.25867552227909,32.70893387545597,68.02171335092228,69.23709172005918,50.67096174258556,63.04285452299092,70.70944772729376,72.0132822828765,78.79180600773446,79.52860580350617,73.95632625024804,73.4628052573317,47.81377088577485,48.61380443899828,56.265772364928914,36.360848052964,59.38920179159496,63.49071462667293,68.49137980030935,61.00503667338388,40.15042249774361,55.88053011464087,56.96222961803487,58.78456328452752,54.92794842044379,63.143547873877296,71.43540200606972,63.627475407361125,54.84981013847592,48.55731818999977,60.35056734431559,61.13310579563595,54.613183778603215,54.18762373224144,54.4642125545565,48.88261541636105,55.5649630170755,78.74971673735699,58.54055743350788,61.89086750786608,60.981933698365125,63.70086096539184,63.83182834140867,67.03167425776098,78.8218500070625
1984-04-01,30.058575589005564,2.9326253795086905,31.392144954042475,27.61058684774368,21.202852591455013,17.07496688509073,28.63128240476245,14.99883390232771,6.96379614679695,13.520743910826612,8.458528697815888,5.527776184648192,12.193907548823944,5.717577223949542,3.073152531055966,6.263622844195972,1.282528673251205,8.028941529148112,0.4514484258067825,1.569131006329466,0.6222599051568749,6.719186336124813,4.209679850469994,2.5128184645774265,6.857909014267762,5.16344428764213,5.503340816218588,6.505818949761339,2.0077797048056887,1.8369405658614075,13.65017482391523,11.98828023153293,14.164501009788776,12.732355567304609,14.45209291950389,15.663748156026609,13.63759325658659,61.21248451942649,38.942730144853805,20.33137517488679,25.146787342271782,20.59428612986745,11.107759061809205,4.29575582363738,23.35584902669421,3.340351545201608,13.642833295114846,20.997195004547933,15.174815037166844,13.226137035340784,6.0662398086973575,23.39094345063361,22.106800738784987,14.57019089320255,4.932962648536416,4.062423555647243,2.509254218210644,14.38564648218074,4.224679236274568,4.599928550955306,20.02371371871061,7.777953959530739,18.041283920513678,40.43425465770319,11.137127831150517,36.96586609854213,81.14549448698814,8.050699433988408,136.92419199338667,111.68058081826725,50.16971218632198,88.52171558089682,62.43501800323922,48.2325404033702,18.699333144344983,49.52188963677309,19.4370357116974,16.658898045002914,20.890778009957955,12.902735913142006,113.18558148366913,78.93389382926856,33.986860871131924,57.02969485523801,16.634970910011912,47.62553793353783,47.92939199560295,44.58446875270887,55.24023738225807,35.11329613488171,11.434381193384048,30.16993183500962,11.300289174512228,8.286388445710294,27.800985012379005,28.011120345200947,20.79976119540582,18.582524326641952,17.11528056587246,8.362437031196576,16.010838569219963,14.613546752511086,102.04644064293676,83.71216736776222,85.51619187354751,80.35452958469176,81.7274097804496,75.8739319070395,46.24775286637646
1984-05-01,21.7004940649934,2.95890040707998,42.89762760887436,48.07626684522909,28.411051827566595,28.082686155526886,69.45800317219454,30.87821105413965,13.919816526373577,21.5968207369241,13.046638560589438,7.9798158903106495,18.876178618258912,12.833033883492368,2.137120056315184,10.587608762284995,0.8107761813027783,12.054910694345429,0.9323588322609973,5.3134678181758845,22.861593733251716,12.137336870650168,18.64888266149385,3.764821070541332,32.949087675120005,13.211648978251915,29.183708484897597,27.156305595732636,6.357792146750468,6.462863712931773,3.618178724151202,4.657217753647562,9.152585801852345,0.2691427243651791,0.5472279449380516,0.5434506886869248,0.5529157345637836,36.1385959416855,22.77544594696686,11.953218590971344,3.391854457913445,9.912448192972928,1.0606974121119457,0.8748312780486092,2.592716632215798,0.9212044412640964,1.8074563951188112,3.055929269793367,4.910465262317428,1.1189426213593314,2.179523236932825,3.175543726544742,3.090100531381489,4.416422096723975,0.9634312087693438,0.9237035772018776,1.1478968434827157,3.800162454494556,9.399106849268104,11.454044951421888,45.799520981012485,30.12024103261435,1.213697752966821,6.14604911587247,1.7425339604728745,5.767502910402757,0.1343932256063052,0.4328340578429451,5.5021693139672845,3.590217791986271,0.8728755086513633,5.012530745144499,7.612875966742844,8.234751850495249,10.30405133710942,3.349783306686336,5.253381646108567,13.75638417398848,8.457863497438556,1.3187026928684624,8.685153438360022,8.28167923793456,7.270682384864314,7.332107125773693,3.869850742235956,6.434264579742667,19.48835989242757,17.857000037028374,11.056256519034296,9.069695261356763,1.1106315498058024,7.5601059773760815,1.2633331125650265,0.9235167559563544,4.51443192151985,4.171533909041439,3.08137940248952,2.7183638321738437,2.468014813471957,0.3657851583750139,2.312472846711741,2.641037402874914,0.2877128641242193,0.3495221409183013,0.3718028653609459,1.1799574306396796,1.63437235904151,1.9756386313707344,9.814224978059915
1984-06-01,2.2356359222765936,0.0650260451511607,8.7465605458739,11.68689301915237,5.717494300224415,21.428340392884746,114.90094726316268,38.459908350952205,0.0,18.02804476822172,8.382967076611243,4.687538735778031,33.30930766648547,0.0,0.0,12.561553714201018,0.0,8.476193358947922,0.0,6.670365674386928e-06,0.0,8.367895341398486e-06,5.567654289864203e-06,0.0,0.0,7.394979650880522e-06,8.252252366091523e-07,2.720760881456171e-07,0.0,0.0,6.345337958837356e-06,5.511153188565176e-06,0.5227728251462902,3.050541853243199e-05,1.569149177852099e-05,1.5866226701859867e-05,1.5362127222955962e-05,0.0,0.0,1.2651818033486129e-08,0.0,9.945083500444061e-09,0.0,0.0,1.694137559758238e-07,1.2632331031083511e-05,3.98037690781426e-06,0.0,4.866227604025146e-06,0.0,8.860053630566766e-06,1.709758416848971e-05,1.6100158963020947e-05,4.523271318923227e-06,0.0,0.0,0.0,5.8948286715772566e-06,0.0,1.5623470410458168e-06,0.0,5.825242392757551e-06,7.752016005833775e-05,1.4605957697943449e-05,5.4825470777393615e-05,1.8678208643373977e-05,0.0,4.071880771017319e-05,6.35885014645329e-05,3.632113387927159e-05,2.109459020827346e-05,5.266250533869893e-05,5.770740611190121e-05,9.050217878086772e-05,7.524997835695986e-05,3.834662306570094e-05,0.0001027913511318,0.0001021643314038,0.0001117587089538,0.0001117587089538,9.547070730348118e-05,9.419909021060148e-05,9.101085812693802e-05,9.411998796977744e-05,8.79315687064622e-05,9.443433711404235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622303915361324e-07,2.696571080684814e-06,0.0,5.602214754073495e-06,5.087451187813133e-05,0.0,1.4148543354891836e-05,2.8050751958295927e-05,4.325067914257231e-05,4.470325815016652e-05,4.8466770857814375e-05,8.022927730289112e-05
1984-07-01,0.000632084194293,3.301687127555446e-06,0.0009294142636924,0.0,0.0006071442194764,0.2148309053517249,1.4669982556099783,0.4384709413231385,1.4969433446224812e-05,0.0967520296793817,0.0449907543548505,0.0251553268972503,1.757196560748549,2.783394813000514e-05,2.532444668653244e-06,0.662539230464378,0.0,0.0788664322066217,0.0,9.262089365242298e-07,4.7794230111465686e-05,8.26656207244082e-06,4.308653402665919e-06,0.0,0.0,1.2469836119323004e-06,2.073727063151348e-06,4.53878981779731e-06,5.0358159322473e-05,5.587935447692871e-05,3.896631980832712e-05,3.765323270223606e-05,0.0,4.674039457843698e-05,4.030625953815717e-05,3.980784158952012e-05,4.136897642982403e-05,2.966600004481569e-06,9.531197226737525e-06,1.7425467743788214e-05,2.5424700246005023e-05,2.11097162522509e-05,3.756184624768212e-05,5.046592285486353e-05,5.471856080223931e-05,5.587935447692871e-05,5.5282687934163706e-05,5.587935447692871e-05,3.297013123895002e-05,2.3243524162687258e-05,5.587935447692871e-05,5.188086711067765e-05,5.186915771984432e-05,3.4366934551702656e-05,4.168474435162886e-05,2.609224257949343e-05,3.0882771066178775e-05,3.847765732573634e-05,0.0,2.722049230196892e-07,5.6621103131037785e-06,2.162685410735237e-05,5.587935447692871e-05,5.602643235176492e-05,5.587935447692871e-05,5.608386878025764e-05,4.301776527463783e-05,5.1343329953126575e-05,5.587935447692871e-05,5.587935447692871e-05,5.103167026096748e-05,5.587935447692871e-05,5.587935447692871e-05,5.425088972940189e-05,5.587935447692871e-05,5.26392014862756e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,1.9951869933904056e-05,2.2300540693959017e-05,5.635509922727909e-06,2.0011183264189308e-05,3.0087298449692177e-05,2.223157058139037e-05,2.858476720421784e-05,2.320779307076574e-05,2.4257691173093136e-05,2.604254259502404e-05,2.478282146633229e-05,2.77117462195421e-05,2.997961698038245e-05,5.081434249542866e-05,3.334154799696019e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05,5.587935447692871e-05
1984-08-01,0.0001426032550931,2.7470915101185345e-06,0.0030631832862673,0.0,0.002000137372685,0.1064169064834519,0.702707876116691,0.2156126535066312,0.0,0.0581136329415327,0.0270219284065072,0.0151085584616046,0.4070711134822698,0.0,0.0,0.1534836739221142,0.0,0.0398076324043138,0.0,0.0,0.0,3.5878071516789706e-06,2.549628569742404e-06,0.0,0.0,0.0,2.241537240449322e-06,0.0,0.0,0.0,1.5122406377844006e-05,1.335986588104888e-05,0.0,9.77060726608583e-06,9.393761282335898e-06,1.03951392466724e-05,9.859942062695866e-06,0.0,0.0,2.3545634995143477e-07,0.0,1.8508273315168169e-07,0.0,0.0,4.84204443408548e-05,8.091544357533389e-06,2.7383978342453053e-05,3.376969235483295e-05,4.816789758972917e-06,0.0,3.3611820819188755e-05,5.212221032999162e-05,5.082399456320922e-05,6.311330696329077e-06,0.0,0.0,0.0,1.428991501426787e-05,0.0,0.0,0.0,2.847361816174161e-05,3.4773323793409e-05,5.719012545333752e-05,5.301499328472273e-05,5.689975998365031e-05,0.0,1.064216341052719e-05,0.0,0.0,5.033578837336174e-06,0.0,0.0,0.0,0.0,3.1067684299719104e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-09-01,16.345421911656466,7.963373900719123,12.520123098232563,12.50537311800512,9.672733329994692,12.586743781703742,31.79585078652246,16.42801621600324,13.335297802164494,26.136572835248963,16.276419021662925,11.5675703388907,11.718190403614177,9.846360489130053,4.342741837921228,10.080637459576083,5.954485211525476,10.591337797950027,5.836442443004714,9.690240126786795,2.9726816122901587,10.752124429856938,6.927341829002174,5.334296293930484,5.525178180035655,3.008591012164469,5.243421896198275,2.4047188032139664,8.250714069278041,8.425042371645596,3.50155681381424,3.866123520927408,10.00984121424484,0.7057532274651181,0.9402993008387376,0.9498125406516074,0.9163890382101068,17.600020787577456,11.774873941286485,9.003027884198044,11.587142567092805,9.035921389148635,5.327716246839105,2.972038344434399,0.880222980868025,0.8355692260605655,0.8305243094795024,0.7849017040273747,4.795992054794972,5.765090054722365,0.4849553304224214,0.4450400357053824,0.4462230846648412,4.402292151339937,6.766953631500168,7.750371118405624,7.538341981666482,3.6406873545348297,5.599568174807931,4.140835436858926,14.396375025021118,6.248410046792371,0.0996543775876028,0.1242882205183038,0.014910261910312,0.1100260015709441,0.7518169564944687,0.0383066470075338,0.0374085042986865,0.0225559348022175,0.2262943461825438,0.0024067434150818,4.388824309248996e-06,1.4263075694786133e-06,0.0,0.1398706730484724,0.0,0.0,0.0,0.0,0.0144614296491505,0.0080417036526172,0.0,0.0045761526683426,0.0,0.0035270868513449,13.782668474058694,13.373587631476958,17.319330991536436,12.219704102690624,2.716227985381173,10.36762813037448,2.883901386330332,2.253024262710281,6.66377022640554,6.268753196703989,5.061443676227914,4.659173318896088,4.321814219472036,1.1696555021609978,3.828311515086179,0.574773152582124,1.449243078739848,1.4486694591023423,1.2287765873637482,0.7664831006060547,0.6764302066049456,0.6372687505452652,0.0010682041407393
1984-10-01,13.336701557778232,8.8977535998931,14.11814692796483,15.867808394711457,12.753314345036454,15.653045186849358,27.08447335934181,18.35201766113663,8.02554524249589,23.217292164303863,15.22501701603174,13.659316458115873,18.47252045181186,7.537345659356188,7.350980728073829,12.007633564021978,11.002229995102727,14.19573450469798,18.23455944849954,13.130514190803368,2.635522888740851,13.76104653665406,14.363141310341636,22.39035744502095,24.11793296922972,10.207149113542366,19.30642534618724,12.70630288796974,9.27434677549703,9.88127452626938,8.000145428379144,7.776949793012587,14.063999100466734,5.259639446243272,6.39401495915277,6.36982617681873,6.301289092956639,28.96715464219481,14.759092408464834,8.173263288268434,2.892961564481186,6.966161897528519,1.676599080866481,2.17793415859361,12.668449626810611,9.266185948765203,11.108040700730704,15.494069015742223,6.368475312374811,4.245270456203769,12.365245968623096,11.4628976656921,11.37427547415506,6.807348797455342,5.460129203980439,6.4368946520524695,7.244785713611957,7.669799290108907,22.622776333806502,19.626461242819005,25.14093160651254,14.17164028030904,1.2923505487078708,3.02556464880579,0.2706865623025762,2.6812071991957453,7.300515844665953,0.5242631704685425,1.6237008532937809,0.883949892583738,2.1585860811175577,0.1148402443078206,0.0045531013940841,0.0017820366946262,9.92115215326761e-06,1.3422521066564748,1.11459644944081e-05,3.921615740456019e-06,8.593029417469907e-06,2.5883300845378102e-05,0.2930166757735946,0.1631505079502272,6.764672657484275e-05,0.0928602112867608,1.50627333100588e-05,0.0715774590303219,17.27459541894325,15.512638665465111,12.06763104741268,9.087632715745718,1.9477225934927225,7.733921421739141,3.226662872711257,2.4195168986129465,6.012765201945896,5.825495940352227,4.307455607566402,3.891955273498709,3.564147721118058,0.4207888823074205,3.1182045623896526,0.8030681809628328,10.189483860219996,7.661741912254835,7.247937692457144,4.900850272570909,4.492168642688003,3.984289955117827,0.0760229031031735
